consent,code,village,n_villageHH,VSLA,name_VSLA,n_VSLA,Sex,head_HH,HH_members,Female_illiterate,Female_notfinished_primary,Female_finished_primary,Female_graduate_lower_secondary,Female_graduate_upper_secondary,Female_vocational,Female_Uni,Female_postgraduate,Male_illiterate,Male_notfinished_primary,Male_finished_primary,Male_graduate_lower_secondary,Male_graduate_upper_secondary,Male_vocational,Male_Uni,Male_postgraduate,EM,Em_Thai,EM_Mong,EM_Kho_Mu,EM_Kinh,EM_others,read_wife,read_hus,read_fiw,read_mil,read_chil,poor,near_poor,non_poor,migration,agriculture,government_staff,small_business,tech_worker,manual_worker,weak_nowork,other_work,rice_area,ave_rice,rice_main_income,drought,hot_spell,erratic_rain,prolong_rain,early_rain_season,hailstones,flood,flashflood_landslide,cold_spell,frost,thunder_storm,no_risk,risk,risk_impact,need,access,confirm_need1,project_drive,read_listen,read_listen_others,total_readlisten,discuss,discuss_others,total_discuss,understand,understand_others,total_understand,posperception,posperception_others,total_posperception,intention,intention_others,total_intention,int_adopt,noint_adopt,total_adopt,seed_adopt,seed_type,seed_amount,sow_time,sow_technique,disadopt_seedtype,disadopt_seedamount,disadopt_sowingtime,disadopt_sowingtechnique,disadopt_seed_no,disadopt_seed_reasons,fer_adopt,fer_type,fer_rate,fer_time_weather,fer_place,fer_type_disadopt,fer_rate_disadopt,fer_time_weather_disadopt,fer_place_disadopt,no_fer_disadopt,disadopt_fer_reasons,protect_adopt,pesticide_type,pesticide_rate,pesticide_time_weather,pesticide_place,pesticide_type_disadopt,pesticide_rate_disadopt,pesticide_time_weather_disadopt,pesticide_place_disadopt,no_pesticide_disadopt,disadopt_pesticide_reasons,water_adopt,water_plant_stage,water_clear_canal,water_coordination,water_saving,water_pumping,water_drought_tolerant_variety,water_plant_stage_disadopt,water_canal_disadopt,water_coordination_disadopt,water_saving_disadopt,water_pumping_disadopt,water_drought_tolerant_variety_disadopt,no_water_disadopt ,disadopt_water management_reasons,implement_seed,wife_seed,husband_seed,mother_seed,father_seed,others_seed,implement_fertilizer,wife_fertilizer,husband_fertilizer,mother_fertilizer,father_fertilizer,others_fertilizer,implement_plant_protection,wife_plant_protection,husband_plant_protection,mother_plant_protection,father_plant_protection,others_plant_protection,implement_water,wife_water,husband_water,mother_water,father_water,others_water,recommend,n_recommend,close_friends,neighbors,neighboring_farms,relatives,others_recommended,imitate,year_know,start_adopt,early_adopter,confirm_need2,Thai,Mong,KhoMu,Kinh,other_language
Yes,16,Long Nghiu,43,1,Hoa ban,19,1,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Mông,0,1,0,0,0,1,1,,,1,0,0,1,0,1,0,1,0,0,0,0,1000,250,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,0,1,1,1,1,0,0,0,0,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,0,0,0,0,Can't buy,1,1,1,1,1,0,1,0,0,0,0,1,0,0,,Wife Husband,1,1,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,>5,1,1,1,1,0,>5,2019,2019,1,1,1,1,0,1,0
Yes,49,Co Luong,35,0,,,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,,1,,,1,0,0,1,1,1,0,0,0,0,0,0,2000,500,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,,1,0,,0,,0,0,,0,0,,0,0,,1,1,1,0,0,1,1,1,1,0,0,0,The recommended amount of seed is low and the seed type is not appropriate ,1,0,0,1,1,1,1,0,0,0,We could not buy the recommended fertilizer and we use more fertilizer than recommended,0,,,,,0,1,0,0,0,Can't buy the recommended type,0,,,,,,,,,,,,,,Farm is far from cannal system,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,1,0,1,0,0,0,1,2017,2018,0,1,1,0,0,0,0
Yes,47,Cang 2,73,0,,,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,0,0,0,2000,500,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,,1,1,,1,0,,0,,0,0,,1,1,1,,1,1,1,0,1,1,1,1,0,0,0,The recommended amount of seed is too low,1,1,1,1,1,0,0,0,0,1,,0,,,,,1,1,0,0,0,Can't buy in local shop,1,1,1,0,0,0,1,0,0,0,0,1,0,0,There is advice not appropriate,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Others,0,0,0,0,1,1,3,1,1,0,0,0,3,2018,2019,,1,1,0,0,0,0
Yes,30,Công,31,1,Hoa hue,18,1,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,3000,500,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,,1,0,,0,,1,1,1,,1,1,,1,1,,1,1,1,1,1,0,1,1,1,0,0,,1,1,1,1,0,1,1,1,0,0,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,1,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,2,1,1,0,0,0,2,2017,2017,1,1,0,0,1,0,0
Yes,70,Nghiu,106,0,,,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Thái ,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,6000,857,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,,1,0,,0,,0,0,,1,1,1,,1,1,,1,1,1,1,1,0,1,1,1,0,0,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,0,1,0,0,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,0,0,,,,,,0,2018,2018,0,1,1,0,0,0,0
Yes,17,Long Nghiu,43,1,Hoa ban,19,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Mông,0,1,0,0,0,0,1,,,1,0,0,1,0,1,0,0,0,0,0,0,3000,750,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,,1,1,,1,0,,0,,1,1,1,,1,1,,1,1,1,0,1,1,0,0,0,0,1,,1,0,1,1,1,0,0,0,0,1,,1,0,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,>5,1,1,1,0,0,>5,2016,2016,1,1,0,1,0,0,0
Yes,26,Ha,56,1,Bình minh,30,1,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,1,1,0,0,1,0,1,0,0,0,0,0,0,3000,600,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,0,1,1,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2016,2016,1,1,1,0,0,0,0
Yes,14,Long Luông 1,54,1,Hoa ban,22,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Mông,0,1,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,0,0,0,2000,500,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,0,0,0,0,Local seeds are not appropriate anymore and we need to use new breed,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,0,0,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2018,2018,1,1,0,1,0,0,0
Yes,74,Co Muông,25,0,,,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,1,0,0,1,0,1,0,0,0,0,0,0,2000,500,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,0,0,0,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2019,,0,1,0,0,1,0,0
Yes,71,Kéo,84,0,,,1,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Kho Mú,0,0,1,0,0,0,1,,,1,1,0,0,1,1,0,0,0,0,0,0,1000,125,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0
Yes,40,Nghiu 1,62,1,Hoa Ban Trang,23,1,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,,1,0,0,1,1,1,0,0,0,0,0,0,5000,833,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,4,1,1,1,0,0,4,2017,2019,1,,1,0,0,0,0
Yes,33,Pú Sung,81,1,Hoa Chanh,32,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,1,1,0,0,1,1,0,0,0,0,0,0,,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,2,0,0,1,0,0,2,2017,2019,1,1,,,,,
Yes,54,Bua,76,0,,,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,0,1,,,1,0,0,1,0,1,0,0,0,0,0,0,500,125,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,,1,1,,1,0,,0,,1,1,1,,1,1,,1,1,1,1,1,1,1,0,0,0,0,Local seeds are not appropriate anymore and we need to use new breed,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,1,0,0,0,Don't have money to buy,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,5,1,1,1,1,0,5,2017,2017,0,1,1,0,0,0,0
Yes,76,Pú Sung,81,0,,,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,1,1,0,0,,,,,,,,,1000,250,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,0,0,0,The recommended seed amount is too low,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2018,2020,1,1,0,0,1,0,0
Yes,65,Bó,38,0,,,1,1,2,1,0,0,0,0,0,0,0,,,,,,,,,Thái ,1,0,0,0,0,1,,,,1,1,0,0,0,1,0,0,0,0,0,0,2500,1250,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,,0,,1,1,0,,0,,1,1,1,,1,1,,1,1,1,1,0,0,0,1,0,0,0,,1,0,1,1,0,,,,,,,1,0,1,0,0,0,0,0,0,1,,1,1,0,0,0,0,1,1,0,1,0,0,0,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,0,0,,,,,,0,2018,2018,1,1,1,0,0,0,0
Yes,28,Vang 1,50,1,Hoa ban,13,1,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,2500,417,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,0,1,0,0,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,3,1,1,0,1,0,3,2017,2017,1,1,0,0,1,0,0
Yes,79,Vang 1,50,0,,,1,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,,0,1,0,1,1,0,0,0,0,0,0,3000,429,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,0,0,0,The recommended seed amount is too low,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,Wife Mother in law,1,0,1,0,0,Wife  Mother in law,1,0,1,0,0,Wife  Mother in law,1,0,1,0,0,Wife  Mother in law,1,0,1,0,0,0,0,,,,,,0,2018,2020,1,1,0,0,1,0,0
Yes,82,Vang 2,54,0,,,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Kho Mú,0,0,1,0,0,1,1,1,,1,0,0,1,0,1,0,0,0,0,0,0,3000,500,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,0,0,0,The recommended seed amount is too low,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,2,0,1,0,0,0,2,2018,2020,1,1,0,0,1,0,0
Yes,80,Ha,56,0,,,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,1,0,0,1,1,0,0,0,0,0,0,2000,500,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,,0,,1,1,0,,0,,1,1,1,,1,1,,1,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2017,2017,1,1,1,0,0,0,0
Yes,19,Tân Bình,38,1,Hoa Ban Trang,22,1,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4000,800,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,0,0,0,0,Local seeds are not appropriate anymore and we need to use new breed,,,,,,0,0,0,0,1,,1,0,1,1,1,1,0,0,0,0,No recommended pesticides in local shops,1,1,1,1,1,1,1,0,0,0,0,1,0,0,,Wife Mother in law,1,0,1,0,0,Wife  Husband Father in law,1,1,0,1,0,Father in law,0,0,0,1,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2017,2017,1,1,1,0,0,0,0
Yes,18,Khá,34,1,Hoa Anh Dào,24,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4000,667,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,0,0,0,0,Local seeds are not appropriate anymore and we need to use new breed,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2016,2016,1,1,1,0,0,0,0
Yes,5,Cang 1,76,1,Huong lúa,21,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,1,1,0,0,0,0,0,0,3000,750,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,1,0,,0,,1,1,1,,1,0,,0,,1,1,0,,,,,1,1,0,0,0,The seeds are not appropriate,1,0,0,1,1,1,1,0,0,0,Not available in local shops,1,1,1,1,1,0,0,0,0,1,,0,,,,,,,0,0,0,0,0,0,1,"Farm is far from cannal system, can not buy pump",Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Others,0,0,0,0,1,,2,0,1,0,0,0,2,2018,2019,0,1,1,0,0,0,0
Yes,46,Cang 1,76,0,,,1,1,2,0,0,1,0,0,0,0,0,,,,,,,,,Thái ,1,0,0,0,0,1,,,,1,0,0,1,0,1,0,0,0,0,0,0,500,250,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,,1,1,0,,0,,0,0,,0,0,,0,0,,1,1,1,0,0,1,0,0,0,0,0,1,,1,0,0,1,0,0,0,0,0,1,I just follow others,0,,,,,,,,,,,0,,,,,,,1,0,1,0,0,0,0,Can not practice advice regularly,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,0,0,,,,,,0,2019,2019,1,1,1,0,0,0,0
Yes,31,Kéo,84,1,Hoa phong lan,23,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,1,1,0,0,1,1,0,0,0,0,0,0,1000,250,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,5,0,1,0,0,0,5,2017,2019,1,1,0,0,1,0,0
Yes,9,Phang 2,78,1,Dai tuóng,39,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thái ,1,0,0,0,0,1,,,,1,0,0,1,1,1,0,1,0,0,0,0,2000,667,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,,1,,1,1,,1,0,,0,,1,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,0,,,,,0,1,0,0,0,Rice does not grow well when using recommended fertilizer amount,1,1,0,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife  Others,1,0,0,0,1,Wife  Others,1,0,0,0,1,1,5,0,1,1,1,0,5,2017,2017,1,1,1,0,0,0,0
Yes,12,Co Líu,26,1,Hoa Anh Dào,18,1,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Thái ,1,0,0,0,0,1,0,,,1,1,0,0,0,1,0,0,0,0,0,0,1000,200,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,0,1,0,0,0,0,Local seeds are not appropriate anymore and we need to use new breed,1,1,0,1,1,0,1,0,0,0,We do not have money to buy fertilizer,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2016,2016,1,1,1,0,0,0,0
Yes,55,Co Líu,26,0,,,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thái ,1,0,0,0,0,0,1,,,1,0,0,1,0,1,0,0,0,0,0,0,3000,600,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,,1,1,,1,0,,0,,1,1,1,,1,1,,1,1,1,1,1,1,1,0,0,0,0,Local seeds are not appropriate anymore and we need to use new breed with higher yield,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,1,0,0,0,0,0,0,1,,Husband,0,1,0,0,0,Husband,0,1,0,0,0,Husband,0,1,0,0,0,Wife  Husband,1,1,0,0,0,1,5,1,1,1,1,0,>5,2016,2017,0,1,1,0,0,0,0
Yes,42,Long Háy,64,0,,,1,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mông,0,1,0,0,0,1,1,,,1,1,0,0,0,1,0,0,0,0,0,0,2000,286,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,,1,0,,0,,0,0,,1,1,1,,1,1,,1,1,1,0,1,1,0,0,0,1,0,Inability to practice advice,1,1,1,1,1,0,0,0,0,1,,0,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,1,1,0,0,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Husband,0,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2018,2018,1,1,0,1,0,0,0
Yes,13,Che Can,104,1,Hoa Sen,29,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3000,500,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,1,0,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2016,2016,1,1,1,0,0,0,0
